OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
2900,,SRA,1,Moderate,SRA Moderate,1232.53586933017,147.036804759394
2901,,SRA,1,Moderate,SRA Moderate,83249.2876701355,2021.62004284148
2902,,SRA,1,Moderate,SRA Moderate,1535.34000003338,265.589259583404
2903,,SRA,1,Moderate,SRA Moderate,94511.3774917126,2027.36533316346
2904,,SRA,1,Moderate,SRA Moderate,690656.451690197,6540.30892661086
2905,,SRA,1,Moderate,SRA Moderate,2285.23074102402,278.0882497479
2906,,SRA,1,Moderate,SRA Moderate,3745647.07806226,10472.9297418493
2907,,SRA,1,Moderate,SRA Moderate,6533.22059440613,487.85683466434
2908,,SRA,1,Moderate,SRA Moderate,2103249.40028954,10575.1750973545
2909,,SRA,1,Moderate,SRA Moderate,170.996804237366,89.4956886601765
2910,,SRA,1,Moderate,SRA Moderate,83688.0574453771,1343.4072884578
2911,,SRA,1,Moderate,SRA Moderate,1073592.87165642,11511.4805552101
2912,,SRA,1,Moderate,SRA Moderate,8101800,29940
2913,,SRA,1,Moderate,SRA Moderate,805.216927483678,152.405001523969
2914,,SRA,1,Moderate,SRA Moderate,72.9041319042444,42.0684335287371
2915,,SRA,1,Moderate,SRA Moderate,1492118.12715387,11378.8649954185
2916,,SRA,1,Moderate,SRA Moderate,158078.132852167,1590.8929426284
2917,,SRA,1,Moderate,SRA Moderate,1060.38316139579,153.45779312542
2918,,SRA,1,Moderate,SRA Moderate,119.993912339211,53.9688212274478
2919,,SRA,1,Moderate,SRA Moderate,4.09921932220459,10.9054513229789
2920,,SRA,1,Moderate,SRA Moderate,515.01134775579,189.629854962358
2921,,SRA,1,Moderate,SRA Moderate,425277.285706997,4738.60989043882
2922,,SRA,1,Moderate,SRA Moderate,1216.73241853714,187.16541705525
2923,,SRA,1,Moderate,SRA Moderate,44.6323304176331,33.3388298463699
2924,,SRA,1,Moderate,SRA Moderate,3.6452202796936,12.1977374187337
2925,,SRA,1,Moderate,SRA Moderate,473017.003349304,6205.36821511307
2926,,SRA,1,Moderate,SRA Moderate,478602.343937397,3963.31292632174
2927,,SRA,1,Moderate,SRA Moderate,2563200,13500
2928,,SRA,1,Moderate,SRA Moderate,906.919623374939,145.59770963462
2929,,SRA,1,Moderate,SRA Moderate,647014545.972825,398092.019704091
2930,,SRA,1,Moderate,SRA Moderate,1061.22064828873,158.90161175857
2931,,SRA,1,Moderate,SRA Moderate,2751300,15900
2932,,SRA,1,Moderate,SRA Moderate,40862.9542164803,976.037032717169
2933,,SRA,1,Moderate,SRA Moderate,312382.440898895,5176.01754101155
2934,,SRA,1,Moderate,SRA Moderate,2025900,16320
2935,,SRA,1,Moderate,SRA Moderate,123300,3180
2936,,SRA,1,Moderate,SRA Moderate,425.788990020752,89.6256106652096
2937,,SRA,1,Moderate,SRA Moderate,2910.11840248108,268.075840106945
2938,,SRA,1,Moderate,SRA Moderate,3294290.16245234,15740.092881099
2939,,SRA,1,Moderate,SRA Moderate,1458041.63877678,14289.1876297131
2940,,SRA,1,Moderate,SRA Moderate,150300,2640
2941,,SRA,1,Moderate,SRA Moderate,9325.75905309618,1116.34837924821
2942,,SRA,1,Moderate,SRA Moderate,2104200,12480
2943,,SRA,1,Moderate,SRA Moderate,225383.653663635,6081.54507391049
2944,,SRA,1,Moderate,SRA Moderate,10474049.5948572,30669.8243275389
