 Non Cat Cov A Smoke Claims 
" 2,599 "
 0   
 0   
 0   
 0   
 1 
 1 
 0   
 0   
 0   
 0   
 0   
 2 
 1 
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 2 
 2 
 0   
 0   
 1 
 1 
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 2 
 1 
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 2 
 0   
 3 
 0   
 0   
 1 
 0   
 0   
 1 
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 6 
 2 
 0   
 0   
 0   
 1 
 5 
 0   
 2 
 10 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 3 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 20 
 0   
 0   
 0   
 0   
 0   
 9 
 0   
 0   
 6 
 0   
 0   
 0   
 2 
 1 
 0   
 0   
 0   
 1 
 1 
 3 
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 2 
 0   
 4 
 1 
 3 
 12 
 1 
 0   
 0   
 1 
 1 
 8 
 3 
 11 
 22 
 5 
 8 
 0   
 4 
 0   
 36 
 3 
 10 
 9 
 27 
 3 
 0   
 1 
 2 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 6 
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 2 
 0   
 6 
 4 
 0   
 1 
 2 
 1 
 0   
 1 
 1 
 0   
 0   
 4 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 4 
 2 
 0   
 0   
 0   
 0   
 7 
 1 
 1 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 1 
 0   
 0   
 0   
 0   
 2 
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 0   
 3 
 2 
 0   
 0   
 0   
 0   
 0   
