year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2023,23," 10,242,120,203 "," 6,225,584 "," 582,229 "," 383,473 ",,,,,,,," 4,810 "," 665,622,601 "," 1,082 "," 17,997,512 "," 3,727 "," 270,742,292 ", 345 ," 7,147,367 ", 251 ," 20,784,239 ", 19 ," 251,761 ", 101 ," 7,989,110 ", 13 ," 108,974 "
2023,94501," 15,325,783 "," 8,741 "," 738,564 "," 499,078 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 3,876 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94502," 4,758,606 "," 2,912 "," 696,293 "," 470,303 ",,,,,,,, 1 ," 72,858 ", 1 ," 9,082 ", 1 ," 32,622 ", 1 ," 1,623 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94536," 15,756,099 "," 11,463 "," 583,490 "," 390,336 ",,,,,,,, 8 ," 1,799,103 ", 0   , 0   , 8 ," 464,272 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94538," 9,223,110 "," 7,943 "," 492,570 "," 325,401 ",,,,,,,, 6 ," 662,500 ", 0   , 0   , 4 ," 226,146 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94539," 20,449,392 "," 11,963 "," 816,518 "," 539,254 ",,,,,,,, 8 ," 1,658,792 ", 0   , 0   , 8 ," 784,919 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94541," 10,583,518 "," 7,584 "," 512,218 "," 339,284 ",,,,,,,, 7 ," 875,239 ", 2 ," 11,788 ", 5 ," 325,293 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94542," 7,104,554 "," 3,263 "," 831,148 "," 537,078 ",,,,,,,, 1 ," 5,850 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94544," 12,049,461 "," 9,283 "," 486,296 "," 319,594 ",,,,,,,, 4 ," 688,084 ", 1 , 833 , 4 ," 406,007 ", 1 ," 1,560 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94545," 7,404,702 "," 5,773 "," 521,104 "," 346,325 ",,,,,,,, 5 ," 696,097 ", 1 , 920 , 4 ," 157,790 ", 1 ," 1,810 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94546," 14,253,757 "," 9,438 "," 594,858 "," 396,778 ",,,,,,,, 3 ," 322,293 ", 1 ," 1,518 ", 4 ," 91,546 ", 1 ," 1,223 ", 1 ," 15,000 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94550," 20,313,725 "," 12,850 "," 715,844 "," 491,284 ",,,,,,,, 6 ," 646,959 ", 0   , 0   , 4 ," 349,052 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94551," 11,301,052 "," 7,981 "," 552,585 "," 375,976 ",,,,,,,, 6 ," 847,100 ", 0   , 0   , 4 ," 266,603 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94552," 8,438,622 "," 3,780 "," 771,023 "," 506,865 ",,,,,,,, 3 ," 962,362 ", 0   , 0   , 3 ," 285,566 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94555," 8,342,337 "," 6,438 "," 579,298 "," 381,284 ",,,,,,,, 2 ," 113,112 ", 0   , 0   , 1 ," 42,437 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
