year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2019,19," 6,796,474,672 "," 6,070,657 "," 504,892 "," 323,905 ",,,,,,,," 9,439 "," 583,743,794 ", 777 ," 14,478,474 "," 4,835 "," 214,922,906 ", 520 ," 5,607,336 "," 3,897 "," 173,338,565 "," 3,047 "," 36,083,364 "," 3,043 "," 69,121,187 "," 2,138 "," 9,047,000 "
2019,94501," 10,846,428 "," 8,666 "," 586,605 "," 404,796 ",,,,,,,, 8 ," 569,924 ", 0   , 0   , 6 ," 401,164 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94502," 3,230,608 "," 2,895 "," 554,782 "," 385,591 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94536," 10,844,744 "," 11,600 "," 468,124 "," 327,230 ",,,,,,,, 10 ," 242,336 ", 1 , 180 , 6 ," 99,717 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94537, 946 , 1 ," 370,400 "," 278,000 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94538," 6,381,925 "," 8,046 "," 389,974 "," 270,412 ",,,,,,,, 5 ," 714,579 ", 0   , 0   , 6 ," 550,661 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94539," 13,953,496 "," 11,964 "," 651,102 "," 452,776 ",,,,,,,, 10 ," 786,466 ", 1 ," 24,370 ", 5 ," 205,583 ", 1 ," 16,806 ", 2 ," 19,229 ", 0   , 0   , 1 ," 7,592 ", 0   , 0   
2019,94541," 7,230,733 "," 7,555 "," 407,631 "," 279,572 ",,,,,,,, 6 ," 270,298 ", 0   , 0   , 5 ," 63,933 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94542," 4,368,450 "," 3,219 "," 661,860 "," 448,069 ",,,,,,,, 2 ," 8,623 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94544," 7,959,151 "," 9,151 "," 386,839 "," 260,390 ",,,,,,,, 18 ," 706,242 ", 1 ," 10,000 ", 8 ," 193,060 ", 0   , 0   , 0   , 0   , 1 ," 10,991 ", 0   , 0   , 0   , 0   
