year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2020,20," 7,661,120,350 "," 6,154,954 "," 542,862 "," 343,774 ",,,,,,,," 9,343 "," 768,717,359 "," 2,599 "," 34,585,396 "," 5,377 "," 269,745,925 "," 1,059 "," 8,169,582 "," 7,074 "," 1,404,812,400 "," 7,259 "," 85,855,773 "," 5,525 "," 502,120,295 "," 3,491 "," 18,014,776 "
2020,94501," 12,253,889 "," 8,650 "," 630,592 "," 432,567 ",,,,,,,, 11 ," 1,677,270 ", 0   , 0   , 6 ," 953,509 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94502," 3,689,162 "," 2,913 "," 596,544 "," 412,633 ",,,,,,,, 3 ," 283,081 ", 0   , 0   , 5 ," 305,661 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94536," 11,976,786 "," 11,587 "," 505,440 "," 350,785 ",,,,,,,, 6 ," 77,323 ", 0   , 0   , 6 ," 17,380 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 49,697 ", 0   , 0   
2020,94537, 648 , 1 ," 406,400 "," 305,000 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94538," 7,021,232 "," 8,018 "," 422,440 "," 290,064 ",,,,,,,, 9 ," 1,546,140 ", 1 ," 37,705 ", 5 ," 699,177 ", 1 ," 20,541 ", 0   , 0   , 1 ," 8,340 ", 0   , 0   , 0   , 0   
2020,94539," 15,332,771 "," 12,019 "," 703,423 "," 484,864 ",,,,,,,, 7 ," 547,904 ", 1 ," 1,320 ", 4 ," 257,669 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94541," 8,176,642 "," 7,614 "," 439,023 "," 297,536 ",,,,,,,, 8 ," 334,161 ", 0   , 0   , 6 ," 161,952 ", 0   , 0   , 2 ," 607,770 ", 0   , 0   , 2 ," 57,085 ", 0   , 0   
2020,94542," 5,095,536 "," 3,308 "," 713,342 "," 477,641 ",,,,,,,, 6 ," 101,014 ", 0   , 0   , 3 ," 20,804 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94544," 9,115,351 "," 9,272 "," 419,494 "," 280,241 ",,,,,,,, 18 ," 1,069,556 ", 0   , 0   , 11 ," 497,011 ", 0   , 0   , 0   , 0   , 1 ," 15,031 ", 0   , 0   , 0   , 0   
2020,94545," 5,543,519 "," 5,805 "," 449,501 "," 304,707 ",,,,,,,, 7 ," 634,802 ", 0   , 0   , 2 ," 258,554 ", 0   , 0   , 1 ," 5,879 ", 0   , 0   , 0   , 0   , 0   , 0   
2020,94546," 10,826,390 "," 9,477 "," 508,456 "," 349,430 ",,,,,,,, 10 ," 433,058 ", 0   , 0   , 4 ," 102,293 ", 0   , 0   , 0   , 0   , 2 ," 4,282 ", 1 ," 22,500 ", 0   , 0   
2020,94550," 15,707,258 "," 13,036 "," 614,760 "," 432,165 ",,,,,,,, 12 ," 200,653 ", 2 ," 20,388 ", 5 ," 29,114 ", 1 ," 29,069 ", 9 ," 956,133 ", 2 ," 40,943 ", 11 ," 825,015 ", 2 ," 11,027 "
2020,94551," 8,197,704 "," 7,969 "," 474,105 "," 332,915 ",,,,,,,, 6 ," 230,444 ", 1 ," 109,798 ", 2 ," 218,872 ", 1 ," 47,892 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94552," 6,068,463 "," 3,879 "," 674,521 "," 466,045 ",,,,,,,, 6 ," 385,093 ", 1 ," 11,135 ", 2 ," 15,098 ", 1 ," 6,093 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94555," 6,257,677 "," 6,563 "," 499,632 "," 339,805 ",,,,,,,, 5 ," 121,708 ", 0   , 0   , 2 ," 27,845 ", 0   , 0   , 1 ," 7,706 ", 0   , 0   , 0   , 0   , 0   , 0   
2020,94560," 8,227,016 "," 8,793 "," 472,905 "," 321,571 ",,,,,,,, 9 ," 125,327 ", 0   , 0   , 5 ," 318,541 ", 0   , 0   , 0   , 0   , 1 ," 14,195 ", 0   , 0   , 0   , 0   
2020,94566," 15,590,492 "," 10,250 "," 802,150 "," 546,193 ",,,,,,,, 18 ," 1,790,346 ", 0   , 0   , 5 ," 293,863 ", 0   , 0   , 1 ," 2,419 ", 0   , 0   , 1 ," 1,008 ", 0   , 0   
2020,94568," 12,739,767 "," 11,544 "," 666,385 "," 441,620 ",,,,,,,, 6 ," 201,175 ", 0   , 0   , 3 ," 18,236 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94577," 8,769,968 "," 8,234 "," 465,639 "," 319,473 ",,,,,,,, 15 ," 320,801 ", 0   , 0   , 7 ," 138,220 ", 1 ," 1,215 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94578," 4,652,452 "," 4,828 "," 413,667 "," 279,366 ",,,,,,,, 10 ," 818,826 ", 0   , 0   , 6 ," 91,650 ", 0   , 0   , 0   , 0   , 1 ," 5,364 ", 0   , 0   , 0   , 0   
2020,94579," 4,276,197 "," 4,560 "," 424,308 "," 286,316 ",,,,,,,, 9 ," 781,295 ", 0   , 0   , 5 ," 643,685 ", 0   , 0   , 1 ," 3,100 ", 0   , 0   , 0   , 0   , 0   , 0   
2020,94580," 5,577,240 "," 6,056 "," 393,962 "," 269,244 ",,,,,,,, 2 ," 5,087 ", 0   , 0   , 1 ," 3,815 ", 0   , 0   , 1 ," 11,843 ", 0   , 0   , 1 ," 5,710 ", 0   , 0   
2020,94586," 586,712 ", 281 ," 865,526 "," 577,837 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94587," 11,978,500 "," 11,694 "," 487,077 "," 336,146 ",,,,,,,, 12 ," 935,746 ", 0   , 0   , 4 ," 557,317 ", 0   , 0   , 1 ," 142,618 ", 3 ," 14,587 ", 0   , 0   , 0   , 0   
2020,94588," 8,507,346 "," 6,379 "," 661,284 "," 456,066 ",,,,,,,, 8 ," 1,080,613 ", 0   , 0   , 6 ," 272,998 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94601," 4,754,871 "," 3,856 "," 411,630 "," 270,207 ",,,,,,,, 6 ," 401,282 ", 0   , 0   , 6 ," 134,888 ", 0   , 0   , 0   , 0   , 1 ," 9,391 ", 0   , 0   , 0   , 0   
2020,94602," 10,129,981 "," 6,431 "," 577,772 "," 396,106 ",,,,,,,, 8 ," 1,660,695 ", 0   , 0   , 6 ," 579,541 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 27,591 ", 0   , 0   
2020,94603," 4,141,650 "," 4,007 "," 329,271 "," 214,987 ",,,,,,,, 12 ," 208,998 ", 2 ," 11,255 ", 5 ," 40,565 ", 1 ," 5,453 ", 2 ," 27,619 ", 0   , 0   , 2 ," 4,388 ", 0   , 0   
2020,94605," 11,869,119 "," 8,411 "," 492,329 "," 336,832 ",,,,,,,, 21 ," 1,443,140 ", 2 ," 17,423 ", 12 ," 418,297 ", 0   , 0   , 5 ," 719,542 ", 4 ," 31,211 ", 2 ," 35,557 ", 0   , 0   
2020,94606," 2,789,873 "," 2,024 "," 495,627 "," 321,370 ",,,,,,,, 3 ," 205,020 ", 0   , 0   , 1 ," 124,024 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94607," 1,370,242 "," 1,000 "," 510,382 "," 334,350 ",,,,,,,, 2 ," 254,437 ", 0   , 0   , 2 ," 332,670 ", 0   , 0   , 0   , 0   , 1 ," 8,642 ", 0   , 0   , 0   , 0   
2020,94608," 3,383,719 "," 2,464 "," 470,746 "," 313,317 ",,,,,,,, 3 ," 143,917 ", 1 , 486 , 2 ," 23,850 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94609," 3,789,228 "," 2,435 "," 542,784 "," 363,403 ",,,,,,,, 3 ," 61,619 ", 1 , 825 , 3 ," 27,411 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94610," 8,688,022 "," 4,132 "," 880,479 "," 595,550 ",,,,,,,, 3 ," 140,505 ", 0   , 0   , 2 ," 94,311 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94611," 23,018,440 "," 9,273 "," 1,006,523 "," 659,600 ",,,,,,,, 7 ," 990,679 ", 0   , 0   , 3 ," 335,748 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94612," 203,769 ", 148 ," 490,923 "," 318,414 ",,,,,,,, 0   , 0   , 1 ," 11,285 ", 0   , 0   , 1 ," 4,057 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94615, 704 , 1 ," 350,800 "," 263,300 ",,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94618," 9,101,531 "," 4,296 "," 908,730 "," 611,257 ",,,,,,,, 5 ," 74,558 ", 0   , 0   , 7 ," 43,036 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94619," 8,695,973 "," 5,651 "," 557,248 "," 379,348 ",,,,,,,, 7 ," 1,034,055 ", 0   , 0   , 6 ," 361,425 ", 0   , 0   , 1 ," 467,472 ", 0   , 0   , 1 ," 101,221 ", 0   , 0   
2020,94621," 3,056,469 "," 2,799 "," 327,877 "," 213,659 ",,,,,,,, 7 ," 464,842 ", 0   , 0   , 5 ," 113,649 ", 0   , 0   , 1 ," 1,039 ", 2 ," 14,825 ", 1 ," 1,304 ", 2 ," 2,390 "
2020,94702," 4,250,779 "," 3,277 "," 474,306 "," 324,689 ",,,,,,,, 0   , 0   , 0   , 0   , 1 ," 4,941 ", 0   , 0   , 1 ," 11,500 ", 0   , 0   , 0   , 0   , 0   , 0   
2020,94703," 4,344,367 "," 2,813 "," 568,373 "," 387,931 ",,,,,,,, 2 ," 162,080 ", 0   , 0   , 1 ," 65,596 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 , 571 , 0   , 0   
2020,94704," 1,137,865 ", 513 ," 807,090 "," 547,809 ",,,,,,,, 2 ," 312,832 ", 0   , 0   , 3 ," 86,782 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94705," 8,405,055 "," 3,027 "," 1,162,010 "," 769,586 ",,,,,,,, 1 ," 22,957 ", 0   , 0   , 1 ," 13,014 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 42,621 ", 0   , 0   
2020,94706," 4,231,001 "," 3,388 "," 528,408 "," 360,668 ",,,,,,,, 3 ," 178,504 ", 0   , 0   , 2 ," 115,095 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
