year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2022,22," 6,321,758,911 "," 4,181,269 "," 547,317 "," 356,821 ",, 1.04 ," 2,038,226 "," 1,557,123 "," 372,362 "," 190,977 "," 22,618 "," 4,257 "," 627,862,787 "," 2,186 "," 29,962,795 "," 3,243 "," 253,619,724 ", 628 ," 7,213,922 ", 141 ," 29,110,083 ", 151 ," 2,419,844 ", 111 ," 9,058,254 ", 102 ," 692,956 "
2022,94501," 9,585,791 "," 6,027 "," 683,538 "," 467,360 ",, 0.47 ," 3,297 "," 2,617 ", 113 , 0   , 0   , 4 ," 131,393 ", 0   , 0   , 3 ," 83,672 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94502," 2,933,122 "," 1,962 "," 658,352 "," 453,413 ",, 0.43 ," 1,112 ", 849 , 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94536," 11,191,332 "," 8,963 "," 545,178 "," 367,256 ",, 0.34 ," 6,052 "," 2,801 ", 102 , 5 , 2 , 5 ," 833,466 ", 0   , 0   , 5 ," 581,069 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94538," 6,636,851 "," 6,284 "," 458,621 "," 305,579 ",, 0.28 ," 4,525 "," 1,756 ", 3 , 0   , 0   , 2 ," 128,083 ", 0   , 0   , 2 ," 56,022 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94539," 14,224,224 "," 9,221 "," 767,723 "," 511,043 ",, 0.38 ," 6,115 "," 2,743 ", 336 , 23 , 4 , 4 ," 682,270 ", 0   , 0   , 4 ," 256,197 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94541," 7,361,656 "," 5,611 "," 474,933 "," 318,606 ",, 0.66 ," 2,701 "," 2,159 ", 684 , 65 , 2 , 8 ," 1,265,586 ", 0   , 0   , 5 ," 609,432 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94542," 5,194,946 "," 2,487 "," 785,735 "," 507,262 ",, 1.49 , 293 , 951 , 977 , 253 , 12 , 4 ," 762,038 ", 0   , 0   , 3 ," 197,024 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94544," 8,485,520 "," 6,937 "," 453,920 "," 299,678 ",, 0.31 ," 4,899 "," 1,949 ", 77 , 10 , 1 , 7 ," 716,367 ", 1 ," 56,514 ", 8 ," 320,215 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94545," 5,148,625 "," 4,323 "," 483,953 "," 323,526 ",, 0.29 ," 3,061 "," 1,259 ", 2 , 1 , 0   , 3 ," 167,679 ", 0   , 0   , 2 ," 94,694 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2022,94546," 9,277,848 "," 6,685 "," 556,825 "," 376,976 ",, 0.70 ," 3,023 "," 2,751 ", 839 , 67 , 5 , 7 ," 448,047 ", 0   , 0   , 5 ," 306,940 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
