year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2019,19," 4,679,836,506 "," 4,165,515 "," 507,439 "," 328,218 ",, 1.06 ," 2,013,792 "," 1,615,540 "," 293,752 "," 228,025 "," 14,383 "," 4,539 "," 409,248,887 ", 562 ," 11,171,957 "," 2,887 "," 146,285,698 ", 398 ," 4,540,458 "," 2,334 "," 124,091,572 "," 2,412 "," 30,961,952 "," 1,923 "," 53,084,041 "," 1,626 "," 7,292,562 "
2019,94501," 7,530,072 "," 6,130 "," 576,856 "," 407,305 ",, 0.49 ," 3,123 "," 2,990 ", 4 , 12 , 0   , 5 ," 495,545 ", 0   , 0   , 4 ," 343,739 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94502," 2,328,331 "," 1,995 "," 566,514 "," 400,852 ",, 0.48 ," 1,053 ", 937 , 1 , 4 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94536," 8,552,910 "," 9,125 "," 468,306 "," 330,192 ",, 0.35 ," 6,077 "," 2,950 ", 85 , 14 , 0   , 6 ," 215,502 ", 0   , 0   , 5 ," 95,653 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94537, 946 , 1 ," 370,400 "," 278,000 ",, 0   , 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94538," 5,107,183 "," 6,342 "," 389,697 "," 273,405 ",, 0.28 ," 4,554 "," 1,787 ", 1 , 0   , 0   , 5 ," 714,579 ", 0   , 0   , 6 ," 550,661 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94539," 10,713,562 "," 9,109 "," 657,474 "," 460,186 ",, 0.37 ," 6,136 "," 2,575 ", 373 , 25 , 0   , 3 ," 140,488 ", 1 ," 24,370 ", 1 ," 25,000 ", 1 ," 16,806 ", 1 ," 18,706 ", 0   , 0   , 1 ," 7,592 ", 0   , 0   
2019,94541," 5,535,764 "," 5,692 "," 404,715 "," 283,035 ",, 0.69 ," 2,695 "," 2,164 ", 752 , 82 , 0   , 2 ," 37,579 ", 0   , 0   , 2 ," 17,236 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94542," 3,510,444 "," 2,545 "," 670,085 "," 456,014 ",, 1.55 , 275 , 894 ," 1,069 ", 305 , 2 , 1 ," 2,100 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94544," 6,249,809 "," 6,898 "," 389,522 "," 266,230 ",, 0.35 ," 4,646 "," 2,109 ", 136 , 7 , 0   , 13 ," 269,590 ", 1 ," 10,000 ", 4 ," 6,163 ", 0   , 0   , 0   , 0   , 1 ," 10,991 ", 0   , 0   , 0   , 0   
2019,94545," 3,814,595 "," 4,406 "," 414,952 "," 288,274 ",, 0.31 ," 3,060 "," 1,341 ", 3 , 1 , 0   , 3 ," 85,503 ", 0   , 0   , 2 ," 15,691 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94546," 6,788,879 "," 6,781 "," 473,190 "," 334,016 ",, 0.67 ," 3,163 "," 2,766 ", 768 , 84 , 0   , 2 ," 83,030 ", 0   , 0   , 2 ," 43,429 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94550," 10,166,838 "," 9,602 "," 579,986 "," 414,331 ",, 0.54 ," 4,674 "," 4,758 ", 98 , 72 , 0   , 5 ," 430,422 ", 1 ," 5,350 ", 3 ," 133,755 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94551," 5,533,650 "," 6,017 "," 445,057 "," 318,463 ",, 0.47 ," 3,277 "," 2,660 ", 74 , 6 , 0   , 8 ," 497,669 ", 0   , 0   , 7 ," 310,053 ", 0   , 0   , 1 ," 52,197 ", 0   , 0   , 1 ," 92,586 ", 0   , 0   
2019,94552," 4,249,815 "," 3,056 "," 627,406 "," 437,854 ",, 1.46 , 528 , 973 ," 1,189 ", 355 , 11 , 1 ," 4,255 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94555," 4,200,472 "," 4,899 "," 463,216 "," 317,785 ",, 0.28 ," 3,535 "," 1,359 ", 1 , 4 , 0   , 2 ," 3,150 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94560," 5,743,248 "," 6,651 "," 427,173 "," 297,243 ",, 0.31 ," 4,592 "," 2,057 ", 2 , 0   , 0   , 4 ," 538,972 ", 0   , 0   , 1 ," 100,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94566," 10,563,494 "," 7,736 "," 762,995 "," 525,011 ",, 0.64 ," 3,609 "," 3,394 ", 607 , 127 , 0   , 8 ," 911,194 ", 0   , 0   , 3 ," 375,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94568," 8,704,173 "," 8,594 "," 628,990 "," 417,834 ",, 0.52 ," 5,048 "," 2,680 ", 836 , 28 , 2 , 4 ," 46,506 ", 0   , 0   , 2 ," 1,392 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94577," 5,793,047 "," 6,063 "," 429,464 "," 303,089 ",, 0.44 ," 3,555 "," 2,367 ", 117 , 22 , 1 , 7 ," 588,951 ", 1 ," 7,280 ", 5 ," 242,114 ", 1 ," 5,190 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94578," 3,228,347 "," 3,649 "," 384,657 "," 268,043 ",, 0.34 ," 2,421 "," 1,200 ", 26 , 2 , 0   , 1 ," 114,892 ", 1 ," 10,000 ", 1 ," 102,174 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94579," 2,877,958 "," 3,385 "," 393,364 "," 271,227 ",, 0.37 ," 2,121 "," 1,263 ", 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94580," 3,847,746 "," 4,534 "," 366,627 "," 258,142 ",, 0.37 ," 2,841 "," 1,692 ", 1 , 0   , 0   , 3 ," 106,360 ", 1 , 721 , 2 ," 17,068 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94586," 417,729 ", 234 ," 823,912 "," 555,210 ",, 2.02 , 0   , 64 , 104 , 61 , 5 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
