year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2021,95014," 10,038,485 "," 8,110 "," 658,158 "," 451,808 ",, 0.43 ," 5,242 "," 2,342 ", 433 , 89 , 4 , 2 ," 204,899 ", 0   , 0   , 1 ," 56,838 ", 0   , 0   , 1 ," 811,661 ", 0   , 0   , 1 ," 240,460 ", 0   , 0   
2021,95020," 11,860,176 "," 8,411 "," 611,987 "," 417,669 ",, 0.64 ," 4,032 "," 3,546 ", 695 , 110 , 29 , 7 ," 574,962 ", 1 ," 10,869 ", 7 ," 249,234 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95030," 7,065,091 "," 2,555 "," 1,340,362 "," 881,686 ",, 1.60 , 194 ," 1,072 ", 867 , 395 , 27 , 2 ," 889,573 ", 0   , 0   , 1 ," 145,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95031, 640 , 1 ," 311,609 "," 155,805 ",, 0   , 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95032," 7,785,309 "," 4,379 "," 857,545 "," 590,402 ",, 0.83 ," 1,809 "," 1,739 ", 614 , 208 , 10 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95035," 7,551,173 "," 7,326 "," 499,624 "," 336,178 ",, 0.28 ," 5,399 "," 1,827 ", 93 , 5 , 3 , 11 ," 1,643,426 ", 0   , 0   , 9 ," 518,560 ", 0   , 0   , 0   , 0   , 2 ," 13,968 ", 0   , 0   , 0   , 0   
2021,95037," 11,649,124 "," 7,460 "," 700,052 "," 486,035 ",, 0.76 ," 3,331 "," 2,966 ", 797 , 321 , 45 , 2 ," 317,931 ", 0   , 0   , 2 ," 265,562 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 , 764 , 0   , 0   
2021,95046," 1,635,135 ", 880 ," 848,934 "," 558,442 ",, 0.71 , 333 , 483 , 53 , 9 , 2 , 2 ," 79,617 ", 0   , 0   , 1 ," 9,231 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95050," 3,332,410 "," 3,547 "," 480,840 "," 332,233 ",, 0.34 ," 2,353 "," 1,172 ", 21 , 1 , 0   , 1 ," 83,063 ", 0   , 0   , 1 ," 12,326 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95051," 6,084,461 "," 6,568 "," 474,358 "," 325,897 ",, 0.30 ," 4,629 "," 1,880 ", 59 , 0   , 0   , 3 ," 56,709 ", 0   , 0   , 2 ," 8,924 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95053," 1,394 ", 1 ," 861,000 "," 430,500 ",, 0   , 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95054," 1,585,949 "," 1,631 "," 492,995 "," 333,811 ",, 0.26 ," 1,202 ", 429 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95070," 13,231,805 "," 6,791 "," 1,046,436 "," 713,350 ",, 0.91 ," 2,544 "," 2,759 "," 1,041 ", 435 , 12 , 1 ," 107,108 ", 1 ," 23,284 ", 1 ," 17,871 ", 1 ," 4,918 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95110," 880,949 ", 948 ," 384,721 "," 263,476 ",, 0.28 , 690 , 252 , 5 , 0   , 0   , 1 ," 216,468 ", 0   , 0   , 1 ," 194,968 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95111," 4,122,183 "," 4,346 "," 399,208 "," 270,919 ",, 0.29 ," 3,174 "," 1,078 ", 93 , 0   , 0   , 5 ," 513,359 ", 1 ," 1,271 ", 4 ," 223,263 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 , 282 , 0   , 0   
2021,95112," 2,911,571 "," 2,701 "," 468,533 "," 328,051 ",, 0.41 ," 1,636 "," 1,036 ", 30 , 0   , 0   , 4 ," 231,473 ", 0   , 0   , 1 ," 55,551 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95113," 1,845 ", 2 ," 445,350 "," 315,050 ",, 0   , 2 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95116," 2,284,019 "," 2,603 "," 358,460 "," 241,639 ",, 0.23 ," 2,022 ", 560 , 21 , 1 , 0   , 4 ," 587,383 ", 1 ," 328,414 ", 4 ," 347,930 ", 1 ," 123,583 ", 0   , 0   , 0   , 0   , 1 ," 6,010 ", 0   , 0   
2021,95117," 2,031,943 "," 2,028 "," 517,115 "," 353,826 ",, 0.34 ," 1,382 ", 611 , 35 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95118," 4,980,044 "," 5,026 "," 473,029 "," 330,670 ",, 0.36 ," 3,283 "," 1,665 ", 78 , 0   , 0   , 3 ," 423,549 ", 1 ," 1,908 ", 3 ," 256,461 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95119," 1,882,823 "," 1,767 "," 499,407 "," 343,860 ",, 0.44 ," 1,063 ", 631 , 67 , 6 , 0   , 5 ," 437,887 ", 0   , 0   , 4 ," 173,006 ", 0   , 0   , 0   , 0   , 1 ," 7,994 ", 0   , 0   , 0   , 0   
2021,95120," 12,120,562 "," 8,014 "," 729,228 "," 511,361 ",, 0.62 ," 4,240 "," 2,821 ", 753 , 194 , 7 , 4 ," 305,622 ", 0   , 0   , 3 ," 143,797 ", 0   , 0   , 1 ," 1,155,350 ", 0   , 0   , 1 ," 509,251 ", 0   , 0   
2021,95121," 4,438,475 "," 4,293 "," 476,160 "," 319,707 ",, 0.32 ," 3,074 "," 1,082 ", 137 , 0   , 0   , 5 ," 767,092 ", 0   , 0   , 3 ," 160,640 ", 0   , 0   , 1 ," 479,300 ", 1 ," 10,118 ", 1 ," 273,795 ", 0   , 0   
2021,95122," 3,371,785 "," 4,007 "," 351,220 "," 237,510 ",, 0.24 ," 3,091 ", 884 , 32 , 0   , 0   , 5 ," 730,037 ", 0   , 0   , 4 ," 349,496 ", 0   , 0   , 0   , 0   , 1 ," 4,284 ", 0   , 0   , 0   , 0   
2021,95123," 8,522,214 "," 8,380 "," 470,885 "," 328,077 ",, 0.39 ," 5,361 "," 2,787 ", 226 , 6 , 0   , 4 ," 102,735 ", 1 ," 3,595 ", 3 ," 36,083 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95124," 9,412,418 "," 8,860 "," 519,224 "," 363,008 ",, 0.38 ," 5,761 "," 2,870 ", 225 , 3 , 0   , 3 ," 345,064 ", 1 ," 9,439 ", 2 ," 149,725 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95125," 10,283,805 "," 8,117 "," 624,586 "," 437,692 ",, 0.43 ," 4,826 "," 3,098 ", 194 , 0   , 0   , 7 ," 666,799 ", 1 ," 6,471 ", 6 ," 473,895 ", 1 ," 1,802 ", 0   , 0   , 0   , 0   , 1 ," 6,444 ", 0   , 0   
2021,95126," 2,836,951 "," 2,359 "," 578,526 "," 400,796 ",, 0.44 ," 1,343 "," 1,004 ", 11 , 0   , 1 , 1 , 471 , 0   , 0   , 1 ," 4,375 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,95127," 7,739,133 "," 7,071 "," 445,052 "," 306,164 ",, 0.53 ," 4,333 "," 1,843 ", 764 , 127 , 3 , 11 ," 1,706,663 ", 0   , 0   , 9 ," 530,351 ", 0   , 0   , 0   , 0   , 1 ," 4,919 ", 0   , 0   , 0   , 0   
