year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2020,20," 4,841,839,895 "," 4,063,851 "," 510,812 "," 337,186 ",, 1.01 ," 2,141,228 "," 1,388,791 "," 304,569 "," 205,917 "," 23,349 "," 4,516 "," 495,885,587 "," 1,890 "," 26,147,748 "," 3,169 "," 181,264,343 ", 761 ," 6,619,245 "," 5,181 "," 1,108,496,614 "," 5,921 "," 73,558,451 "," 3,763 "," 393,246,346 "," 2,418 "," 14,449,754 "
2020,94501," 7,636,109 "," 5,800 "," 626,845 "," 439,903 ",, 0.42 ," 3,369 "," 2,430 ", 1 , 0   , 0   , 5 ," 751,286 ", 0   , 0   , 4 ," 590,579 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94502," 2,409,169 "," 1,950 "," 611,718 "," 429,614 ",, 0.41 ," 1,146 ", 804 , 0   , 0   , 0   , 2 ," 249,682 ", 0   , 0   , 3 ," 303,145 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94536," 9,019,585 "," 8,942 "," 509,289 "," 356,040 ",, 0.28 ," 6,536 "," 2,297 ", 104 , 5 , 0   , 3 ," 72,967 ", 0   , 0   , 4 ," 11,487 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 49,697 ", 0   , 0   
2020,94537, 648 , 1 ," 406,400 "," 305,000 ",, 0   , 1 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94538," 5,429,582 "," 6,292 "," 425,996 "," 295,211 ",, 0.22 ," 4,885 "," 1,406 ", 1 , 0   , 0   , 6 ," 1,479,260 ", 1 ," 37,705 ", 4 ," 679,609 ", 1 ," 20,541 ", 0   , 0   , 1 ," 8,340 ", 0   , 0   , 0   , 0   
2020,94539," 11,354,253 "," 9,122 "," 712,864 "," 493,668 ",, 0.32 ," 6,670 "," 2,051 ", 378 , 18 , 5 , 1 ," 440,627 ", 1 ," 1,320 ", 3 ," 233,762 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94541," 5,808,167 "," 5,550 "," 438,802 "," 302,816 ",, 0.66 ," 2,832 "," 1,884 ", 746 , 88 , 0   , 6 ," 199,303 ", 0   , 0   , 3 ," 152,273 ", 0   , 0   , 1 ," 600,000 ", 0   , 0   , 1 ," 54,045 ", 0   , 0   
2020,94542," 3,847,930 "," 2,491 "," 722,442 "," 482,711 ",, 1.61 , 293 , 734 ," 1,116 ", 343 , 5 , 5 ," 100,393 ", 0   , 0   , 3 ," 20,804 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94544," 6,758,460 "," 6,837 "," 424,905 "," 288,167 ",, 0.30 ," 4,969 "," 1,725 ", 98 , 45 , 0   , 8 ," 753,855 ", 0   , 0   , 6 ," 318,115 ", 0   , 0   , 0   , 0   , 1 ," 15,031 ", 0   , 0   , 0   , 0   
2020,94545," 4,093,362 "," 4,328 "," 452,578 "," 311,220 ",, 0.26 ," 3,208 "," 1,118 ", 2 , 0   , 0   , 4 ," 69,068 ", 0   , 0   , 1 ," 1,375 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94546," 7,234,308 "," 6,638 "," 513,104 "," 358,694 ",, 0.66 ," 3,262 "," 2,483 ", 803 , 89 , 1 , 5 ," 425,110 ", 0   , 0   , 4 ," 102,293 ", 0   , 0   , 0   , 0   , 2 ," 4,282 ", 1 ," 22,500 ", 0   , 0   
2020,94550," 10,826,898 "," 9,430 "," 622,740 "," 444,020 ",, 0.49 ," 5,058 "," 4,186 ", 137 , 28 , 20 , 4 ," 184,537 ", 0   , 0   , 3 ," 22,647 ", 0   , 0   , 9 ," 956,133 ", 2 ," 40,943 ", 10 ," 739,015 ", 2 ," 11,027 "
