,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
64,90065,Standard,Los Angeles,Los Angeles,213 / 323 / 738,"44,328",0.11%
65,90066,Standard,Los Angeles,Los Angeles,310 / 424,"55,304",0.14%
66,90067,Standard,Los Angeles,Los Angeles,310 / 323 / 738,"3,344",0.01%
67,90068,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 738,"24,361",0.06%
68,90069,Standard,West Hollywood,Los Angeles,323 / 738 / 818,"20,584",0.05%
69,90070 ,P.O. Box,Los Angeles,Los Angeles,213 / 738,0,0.00%
70,90071,Standard,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,907,0.00%
71,90072 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
72,90073 ,P.O. Box,Los Angeles,Los Angeles,310 / 424 / 818,936,0.00%
73,90074 ,Unique,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
74,90075 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
75,90076 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
76,90077,Standard,Los Angeles,Los Angeles,818 / 310,"8,874",0.02%
77,90078 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
78,90079,Standard,Los Angeles,Los Angeles,213 / 323 / 424 / 626 / 738 / 747 / 818,16,0.00%
79,90080 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
80,90081 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
81,90082 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
82,90083 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
83,90084 ,Unique,Los Angeles,Los Angeles,310 / 323 / 738 / 818,0,0.00%
84,90085 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
85,90086 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
86,90087 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
87,90088 ,Unique,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
88,90089 ,Unique,Los Angeles,Los Angeles,213 / 323 / 738,"5,172",0.01%
89,90091 ,P.O. Box,Los Angeles,Los Angeles,323 / 562 / 738,0,0.00%
90,90093 ,P.O. Box,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
91,90094,Standard,Playa Vista,Los Angeles,323 / 738,"12,746",0.03%
92,90095 ,Unique,Los Angeles,Los Angeles,310 / 323 / 738 / 818,1,0.00%
93,90096 ,Unique,Los Angeles,Los Angeles,213 / 323 / 738,0,0.00%
94,90099 ,Unique,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
95,90134,Standard,Los Angeles,Los Angeles,213 / 323 / 738,0,0.00%
96,90140 ,Unique,Los Angeles,Los Angeles,323 / 562 / 738,0,0.00%
97,90189 ,Unique,Los Angeles,Los Angeles,213 / 310 / 323 / 424 / 562 / 626 / 738 / 747 / 818,0,0.00%
98,90201,Standard,Bell Gardens,Los Angeles,323 / 738,"95,810",0.24%
