,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
313,91129 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
314,91182 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
315,91184 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
316,91185 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
317,91188 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
318,91189 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
319,91199 ,Unique,Pasadena,Los Angeles,323 / 626 / 738,0,0.00%
320,91201,Standard,Glendale,Los Angeles,323 / 738 / 747 / 818,"22,608",0.06%
321,91202,Standard,Glendale,Los Angeles,747 / 818,"22,875",0.06%
322,91203,Standard,Glendale,Los Angeles,747 / 818,"16,930",0.04%
323,91204,Standard,Glendale,Los Angeles,323 / 738 / 747 / 818,"17,302",0.04%
324,91205,Standard,Glendale,Los Angeles,323 / 738 / 747 / 818,"36,693",0.09%
325,91206,Standard,Glendale,Los Angeles,213 / 323 / 626 / 738,"33,252",0.08%
326,91207,Standard,Glendale,Los Angeles,747 / 818,"10,369",0.03%
327,91208,Standard,Glendale,Los Angeles,747 / 818,"16,776",0.04%
328,91209 ,P.O. Box,Glendale,Los Angeles,323 / 738 / 747 / 818,0,0.00%
329,91210,Standard,Glendale,Los Angeles,323 / 738 / 747 / 818,555,0.00%
330,91214,Standard,La Crescenta,Los Angeles,818 / 747,"31,097",0.08%
331,91221 ,P.O. Box,Glendale,Los Angeles,323 / 738 / 747 / 818,0,0.00%
332,91222 ,P.O. Box,Glendale,Los Angeles,323 / 738 / 747 / 818,0,0.00%
333,91224 ,P.O. Box,La Crescenta,Los Angeles,323 / 738 / 747 / 818,0,0.00%
334,91225 ,P.O. Box,Glendale,Los Angeles,323 / 738 / 747 / 818,0,0.00%
335,91226 ,P.O. Box,Glendale,Los Angeles,323 / 738 / 747 / 818,0,0.00%
336,91301,Standard,Agoura Hills,Los Angeles,818 / 747,"24,790",0.06%
337,91302,Standard,Calabasas,Los Angeles,424 / 310,"25,468",0.06%
338,91303,Standard,Canoga Park,Los Angeles,818 / 747,"28,457",0.07%
339,91304,Standard,Canoga Park,Los Angeles,818 / 747,"52,386",0.13%
340,91305 ,P.O. Box,Canoga Park,Los Angeles,818 / 747,0,0.00%
341,91306,Standard,Winnetka,Los Angeles,818 / 747,"46,669",0.12%
342,91307,Standard,West Hills,Los Angeles,818,"24,855",0.06%
343,91308 ,P.O. Box,West Hills,Los Angeles,818 / 747,0,0.00%
344,91309 ,P.O. Box,Canoga Park,Los Angeles,818 / 747,0,0.00%
345,91310 ,P.O. Box,Castaic,Los Angeles,661,0,0.00%
346,91311,Standard,Chatsworth,Los Angeles,818 / 747,"39,014",0.10%
347,91313 ,P.O. Box,Chatsworth,Los Angeles,818 / 747,0,0.00%
348,91316,Standard,Encino,Los Angeles,818,"28,777",0.07%
349,91319 ,P.O. Box,Newbury Park,Ventura,805 / 820,0,0.00%
350,91320,Standard,Newbury Park,Ventura,805 / 820,"44,462",0.11%
351,91321,Standard,Newhall,Los Angeles,661,"33,560",0.08%
352,91322 ,P.O. Box,Newhall,Los Angeles,661,0,0.00%
353,91324,Standard,Northridge,Los Angeles,818 / 747,"29,500",0.07%
354,91325,Standard,Northridge,Los Angeles,818 / 747,"35,250",0.09%
355,91326,Standard,Porter Ranch,Los Angeles,818 / 747,"38,041",0.10%
356,91327 ,P.O. Box,Northridge,Los Angeles,818 / 747,0,0.00%
357,91328 ,P.O. Box,Northridge,Los Angeles,818 / 747,0,0.00%
358,91330 ,Unique,Northridge,Los Angeles,818 / 747,"2,273",0.01%
359,91331,Standard,Pacoima,Los Angeles,818 / 747,"100,720",0.25%
360,91333 ,P.O. Box,Pacoima,Los Angeles,818 / 747,0,0.00%
361,91334 ,P.O. Box,Pacoima,Los Angeles,818 / 747,0,0.00%
362,91335,Standard,Reseda,Los Angeles,818 / 747,"76,650",0.19%
363,91337 ,P.O. Box,Reseda,Los Angeles,818 / 747,0,0.00%
364,91340,Standard,San Fernando,Los Angeles,818 / 747,"34,610",0.09%
365,91341 ,P.O. Box,San Fernando,Los Angeles,818 / 747,0,0.00%
366,91342,Standard,Sylmar,Los Angeles,818 / 747,"96,429",0.24%
367,91343,Standard,North Hills,Los Angeles,818 / 747,"62,595",0.16%
368,91344,Standard,Granada Hills,Los Angeles,818 / 747,"52,481",0.13%
369,91345,Standard,Mission Hills,Los Angeles,818 / 747,"18,895",0.05%
370,91346 ,P.O. Box,Mission Hills,Los Angeles,818 / 747,0,0.00%
371,91350,Standard,Santa Clarita,Los Angeles,661,"41,514",0.11%
372,91351,Standard,Canyon Country,Los Angeles,661,"34,684",0.09%
373,91352,Standard,Sun Valley,Los Angeles,213 / 310 / 323 / 626 / 738 / 747 / 818,"47,274",0.12%
374,91353 ,P.O. Box,Sun Valley,Los Angeles,323 / 738 / 818,0,0.00%
375,91354,Standard,Valencia,Los Angeles,661,"33,962",0.09%
376,91355,Standard,Valencia,Los Angeles,661,"32,886",0.08%
377,91356,Standard,Tarzana,Los Angeles,818,"30,664",0.08%
378,91357 ,P.O. Box,Tarzana,Los Angeles,818,0,0.00%
379,91358 ,P.O. Box,Thousand Oaks,Ventura,805 / 820,0,0.00%
380,91359 ,P.O. Box,Westlake Village,Ventura,805 / 820,0,0.00%
381,91360,Standard,Thousand Oaks,Ventura,805 / 820,"43,046",0.11%
382,91361,Standard,Westlake Village,Ventura,805 / 818 / 820,"20,262",0.05%
383,91362,Standard,Thousand Oaks,Ventura,805 / 820,"35,803",0.09%
384,91364,Standard,Woodland Hills,Los Angeles,818,"27,071",0.07%
385,91365 ,P.O. Box,Woodland Hills,Los Angeles,818,0,0.00%
386,91367,Standard,Woodland Hills,Los Angeles,818,"46,498",0.12%
387,91371 ,Unique,Woodland Hills,Los Angeles,818 / 747,14,0.00%
388,91372 ,P.O. Box,Calabasas,Los Angeles,818,0,0.00%
389,91376 ,P.O. Box,Agoura Hills,Los Angeles,818 / 747,0,0.00%
390,91377,Standard,Oak Park,Ventura,818,"13,898",0.04%
391,91380 ,P.O. Box,Santa Clarita,Los Angeles,661,0,0.00%
392,91381,Standard,Stevenson Ranch,Los Angeles,661,"20,862",0.05%
393,91382,Standard,Santa Clarita,Los Angeles,661,0,0.00%
394,91383,Standard,Santa Clarita,Los Angeles,820,0,0.00%
395,91384,Standard,Castaic,Los Angeles,661 / 805 / 820,"28,585",0.07%
396,91385 ,P.O. Box,Valencia,Los Angeles,818 / 747,0,0.00%
397,91386 ,P.O. Box,Canyon Country,Los Angeles,661,0,0.00%
398,91387,Standard,Canyon Country,Los Angeles,661,"45,749",0.12%
399,91390,Standard,Santa Clarita,Los Angeles,661,"20,128",0.05%
400,91392 ,P.O. Box,Sylmar,Los Angeles,818 / 747,0,0.00%
401,91393 ,P.O. Box,North Hills,Los Angeles,323 / 738 / 747 / 818,0,0.00%
402,91394 ,P.O. Box,Granada Hills,Los Angeles,818 / 747,0,0.00%
403,91395 ,P.O. Box,Mission Hills,Los Angeles,818 / 747,0,0.00%
404,91396 ,P.O. Box,Winnetka,Los Angeles,818 / 747,0,0.00%
405,91401,Standard,Van Nuys,Los Angeles,323 / 738 / 818,"39,621",0.10%
406,91402,Standard,Panorama City,Los Angeles,818,"70,140",0.18%
407,91403,Standard,Sherman Oaks,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,"25,329",0.06%
408,91404 ,P.O. Box,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
409,91405,Standard,Van Nuys,Los Angeles,323 / 738 / 818,"55,319",0.14%
410,91406,Standard,Van Nuys,Los Angeles,818,"53,252",0.13%
411,91407 ,P.O. Box,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
412,91408 ,P.O. Box,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
413,91409 ,P.O. Box,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
414,91410 ,P.O. Box,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
415,91411,Standard,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,"24,984",0.06%
416,91412 ,P.O. Box,Panorama City,Los Angeles,818,0,0.00%
417,91413 ,P.O. Box,Sherman Oaks,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
418,91416 ,P.O. Box,Encino,Los Angeles,818 / 747,0,0.00%
419,91423,Standard,Sherman Oaks,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,"32,635",0.08%
420,91426 ,P.O. Box,Encino,Los Angeles,818 / 747,0,0.00%
421,91436,Standard,Encino,Los Angeles,818 / 747,"15,189",0.04%
422,91470 ,Unique,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
423,91482 ,Unique,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
424,91499 ,Unique,Van Nuys,Los Angeles,213 / 323 / 424 / 738 / 747 / 818,0,0.00%
425,91501,Standard,Burbank,Los Angeles,323 / 738 / 747 / 818,"21,157",0.05%
426,91502,Standard,Burbank,Los Angeles,323 / 738 / 747 / 818,"11,665",0.03%
427,91503 ,P.O. Box,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
428,91504,Standard,Burbank,Los Angeles,213 / 310 / 323 / 626 / 738 / 747 / 818,"26,678",0.07%
429,91505,Standard,Burbank,Los Angeles,213 / 310 / 323 / 626 / 738 / 818,"32,371",0.08%
430,91506,Standard,Burbank,Los Angeles,323 / 738 / 747 / 818,"19,338",0.05%
431,91507 ,P.O. Box,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
432,91508 ,P.O. Box,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
433,91510 ,P.O. Box,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
434,91521 ,Unique,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
435,91522 ,Unique,Burbank,Los Angeles,213 / 310 / 323 / 738,0,0.00%
436,91523 ,Unique,Burbank,Los Angeles,323 / 738 / 747 / 818,0,0.00%
437,91601,Standard,North Hollywood,Los Angeles,323 / 738 / 747 / 818,"39,429",0.10%
438,91602,Standard,North Hollywood,Los Angeles,323 / 738 / 747 / 818,"19,647",0.05%
439,91603 ,P.O. Box,North Hollywood,Los Angeles,323 / 738 / 747 / 818,0,0.00%
440,91604,Standard,Studio City,Los Angeles,747,"30,947",0.08%
441,91605,Standard,North Hollywood,Los Angeles,323 / 738 / 818,"54,341",0.14%
442,91606,Standard,North Hollywood,Los Angeles,323 / 738 / 747 / 818,"43,955",0.11%
443,91607,Standard,Valley Village,Los Angeles,323 / 738 / 747 / 818,"30,502",0.08%
444,91608,Standard,Universal City,Los Angeles,213 / 310 / 323 / 738,37,0.00%
445,91609 ,P.O. Box,North Hollywood,Los Angeles,323 / 738 / 747 / 818,0,0.00%
446,91610 ,P.O. Box,Toluca Lake,Los Angeles,323 / 738 / 747 / 818,0,0.00%
447,91614 ,P.O. Box,Studio City,Los Angeles,323 / 738 / 747 / 818,0,0.00%
448,91615 ,P.O. Box,North Hollywood,Los Angeles,323 / 738 / 747 / 818,0,0.00%
449,91616 ,P.O. Box,North Hollywood,Los Angeles,323 / 738 / 747 / 818,0,0.00%
450,91617 ,P.O. Box,Valley Village,Los Angeles,323 / 738 / 747 / 818,0,0.00%
451,91618 ,P.O. Box,North Hollywood,Los Angeles,323 / 738 / 747 / 818,0,0.00%
452,91701,Standard,Rancho Cucamonga,San Bernardino,909 / 840,"38,778",0.10%
453,91702,Standard,Azusa,Los Angeles,626,"62,328",0.16%
454,91706,Standard,Baldwin Park,Los Angeles,626,"73,313",0.19%
455,91708,Standard,Chino,San Bernardino,909 / 840,"14,381",0.04%
456,91709,Standard,Chino Hills,San Bernardino,909 / 840,"78,530",0.20%
457,91710,Standard,Chino,San Bernardino,909 / 840,"82,576",0.21%
458,91711,Standard,Claremont,Los Angeles,909 / 840,"38,122",0.10%
459,91714 ,P.O. Box,City Of Industry,Los Angeles,323 / 626 / 738 / 818,0,0.00%
460,91715 ,P.O. Box,City Of Industry,Los Angeles,323 / 626 / 738 / 818,0,0.00%
461,91716 ,P.O. Box,City Of Industry,Los Angeles,323 / 626 / 738 / 818,0,0.00%
462,91722,Standard,Covina,Los Angeles,626 / 840 / 562 / 909,"36,111",0.09%
463,91723,Standard,Covina,Los Angeles,626 / 840 / 562 / 909,"19,653",0.05%
464,91724,Standard,Covina,Los Angeles,626 / 840 / 562 / 909,"27,180",0.07%
465,91729 ,P.O. Box,Rancho Cucamonga,San Bernardino,909 / 951 / 840,0,0.00%
466,91730,Standard,Rancho Cucamonga,San Bernardino,909 / 951 / 840,"68,883",0.17%
467,91731,Standard,El Monte,Los Angeles,323 / 626 / 738,"28,197",0.07%
468,91732,Standard,El Monte,Los Angeles,323 / 626 / 738,"60,137",0.15%
469,91733,Standard,South El Monte,Los Angeles,323 / 626 / 738,"41,990",0.11%
470,91734 ,P.O. Box,El Monte,Los Angeles,323 / 626 / 738,0,0.00%
471,91735 ,Unique,El Monte,Los Angeles,323 / 626 / 738,0,0.00%
472,91737,Standard,Rancho Cucamonga,San Bernardino,840 / 909,"24,568",0.06%
473,91739,Standard,Rancho Cucamonga,San Bernardino,909 / 840,"42,411",0.11%
474,91740,Standard,Glendora,Los Angeles,626,"26,644",0.07%
475,91741,Standard,Glendora,Los Angeles,626,"26,999",0.07%
476,91743 ,P.O. Box,Guasti,San Bernardino,909 / 951 / 840,0,0.00%
477,91744,Standard,La Puente,Los Angeles,626,"81,817",0.21%
478,91745,Standard,Hacienda Heights,Los Angeles,626,"54,280",0.14%
479,91746,Standard,La Puente,Los Angeles,626,"29,509",0.07%
480,91747 ,P.O. Box,La Puente,Los Angeles,626,0,0.00%
481,91748,Standard,Rowland Heights,Los Angeles,626,"44,737",0.11%
482,91749 ,P.O. Box,La Puente,Los Angeles,626,0,0.00%
483,91750,Standard,La Verne,Los Angeles,909 / 626 / 840,"33,376",0.08%
484,91752,Standard,Mira Loma,Riverside,951,"38,610",0.10%
485,91754,Standard,Monterey Park,Los Angeles,818,"33,300",0.08%
486,91755,Standard,Monterey Park,Los Angeles,818,"27,637",0.07%
487,91756 ,Unique,Monterey Park,Los Angeles,818,0,0.00%
488,91758,Standard,Ontario,San Bernardino,909 / 951 / 840,0,0.00%
489,91759 ,P.O. Box,Mt Baldy,San Bernardino,760,432,0.00%
490,91761,Standard,Ontario,San Bernardino,909 / 951 / 840,"60,306",0.15%
491,91762,Standard,Ontario,San Bernardino,909 / 840,"62,524",0.16%
492,91763,Standard,Montclair,San Bernardino,909 / 951 / 840,"37,631",0.10%
493,91764,Standard,Ontario,San Bernardino,909 / 951 / 840,"55,322",0.14%
494,91765,Standard,Diamond Bar,Los Angeles,909 / 840,"46,449",0.12%
495,91766,Standard,Pomona,Los Angeles,909 / 840 / 626,"70,701",0.18%
496,91767,Standard,Pomona,Los Angeles,909 / 840 / 626,"51,654",0.13%
497,91768,Standard,Pomona,Los Angeles,909 / 840 / 626,"35,568",0.09%
498,91769 ,P.O. Box,Pomona,Los Angeles,909 / 840 / 626,0,0.00%
499,91770,Standard,Rosemead,Los Angeles,626,"59,360",0.15%
500,91771 ,Unique,Rosemead,Los Angeles,626,0,0.00%
501,91772 ,Unique,Rosemead,Los Angeles,626,0,0.00%
502,91773,Standard,San Dimas,Los Angeles,840 / 909,"34,592",0.09%
503,91775,Standard,San Gabriel,Los Angeles,626,"24,252",0.06%
504,91776,Standard,San Gabriel,Los Angeles,626,"38,031",0.10%
505,91778 ,P.O. Box,San Gabriel,Los Angeles,626,0,0.00%
506,91780,Standard,Temple City,Los Angeles,626,"35,751",0.09%
507,91784,Standard,Upland,San Bernardino,909 / 840,"26,718",0.07%
508,91785 ,P.O. Box,Upland,San Bernardino,840 / 909,0,0.00%
509,91786,Standard,Upland,San Bernardino,909 / 840,"55,763",0.14%
510,91788 ,P.O. Box,Walnut,Los Angeles,909 / 840,0,0.00%
511,91789,Standard,Walnut,Los Angeles,909 / 840,"41,235",0.10%
512,91790,Standard,West Covina,Los Angeles,626,"46,364",0.12%
513,91791,Standard,West Covina,Los Angeles,626,"34,267",0.09%
514,91792,Standard,West Covina,Los Angeles,626,"30,683",0.08%
515,91793 ,P.O. Box,West Covina,Los Angeles,626,0,0.00%
516,91801,Standard,Alhambra,Los Angeles,323 / 626 / 738 / 818,"53,669",0.14%
517,91802 ,P.O. Box,Alhambra,Los Angeles,323 / 626 / 738 / 818,0,0.00%
518,91803,Standard,Alhambra,Los Angeles,323 / 626 / 738 / 818,"29,374",0.07%
519,91804,Standard,Alhambra,Los Angeles,323 / 626 / 738 / 818,0,0.00%
520,91896 ,P.O. Box,Alhambra,Los Angeles,323 / 626 / 738 / 818,0,0.00%
521,91899 ,P.O. Box,Alhambra,Los Angeles,323 / 626 / 738 / 818,0,0.00%
522,91901,Standard,Alpine,San Diego,619 / 858,"17,688",0.04%
523,91902,Standard,Bonita,San Diego,619,"17,902",0.05%
524,91903 ,P.O. Box,Alpine,San Diego,619 / 858,0,0.00%
525,91905,Standard,Boulevard,San Diego,619 / 760,"1,799",0.00%
526,91906,Standard,Campo,San Diego,619 / 858,"3,904",0.01%
527,91908 ,P.O. Box,Bonita,San Diego,619,0,0.00%
528,91909 ,P.O. Box,Chula Vista,San Diego,619 / 858,0,0.00%
529,91910,Standard,Chula Vista,San Diego,619 / 858,"79,613",0.20%
530,91911,Standard,Chula Vista,San Diego,619 / 858,"85,442",0.22%
531,91912 ,P.O. Box,Chula Vista,San Diego,619 / 858,0,0.00%
532,91913,Standard,Chula Vista,San Diego,619 / 858,"55,923",0.14%
533,91914,Standard,Chula Vista,San Diego,619,"17,522",0.04%
534,91915,Standard,Chula Vista,San Diego,619,"33,218",0.08%
535,91916,Standard,Descanso,San Diego,619 / 858,"1,720",0.00%
536,91917,Standard,Dulzura,San Diego,619 / 858,"1,126",0.00%
537,91921 ,P.O. Box,Chula Vista,San Diego,619 / 858,0,0.00%
538,91931 ,P.O. Box,Guatay,San Diego,619 / 858,481,0.00%
539,91932,Standard,Imperial Beach,San Diego,619,"26,013",0.07%
540,91933 ,P.O. Box,Imperial Beach,San Diego,619,0,0.00%
541,91934,Standard,Jacumba,San Diego,619 / 858,693,0.00%
542,91935,Standard,Jamul,San Diego,619 / 858,"8,841",0.02%
543,91941,Standard,La Mesa,San Diego,619 / 858,"33,895",0.09%
544,91942,Standard,La Mesa,San Diego,619 / 858,"40,813",0.10%
545,91943 ,P.O. Box,La Mesa,San Diego,619 / 858,0,0.00%
546,91944 ,P.O. Box,La Mesa,San Diego,619 / 858,0,0.00%
547,91945,Standard,Lemon Grove,San Diego,619 / 858,"27,814",0.07%
548,91946 ,P.O. Box,Lemon Grove,San Diego,619 / 858,0,0.00%
549,91948 ,P.O. Box,Mount Laguna,San Diego,619 / 858,87,0.00%
550,91950,Standard,National City,San Diego,619,"57,849",0.15%
551,91951 ,P.O. Box,National City,San Diego,619,0,0.00%
552,91962,Standard,Pine Valley,San Diego,619 / 858,"1,860",0.00%
553,91963,Standard,Potrero,San Diego,619 / 858,"1,101",0.00%
554,91976 ,P.O. Box,Spring Valley,San Diego,619 / 858,0,0.00%
555,91977,Standard,Spring Valley,San Diego,619 / 858,"60,795",0.15%
556,91978,Standard,Spring Valley,San Diego,619,"9,949",0.03%
557,91979 ,P.O. Box,Spring Valley,San Diego,619 / 858,0,0.00%
558,91980,Standard,Tecate,San Diego,619 / 858,145,0.00%
559,91987 ,Unique,Tecate,San Diego,619 / 858,0,0.00%
560,92003,Standard,Bonsall,San Diego,760 / 442,"4,781",0.01%
561,92004,Standard,Borrego Springs,San Diego,760 / 442,"3,414",0.01%
562,92007,Standard,Cardiff By The Sea,San Diego,760,"10,981",0.03%
563,92008,Standard,Carlsbad,San Diego,760,"27,282",0.07%
564,92009,Standard,Carlsbad,San Diego,760 / 442,"44,816",0.11%
565,92010,Standard,Carlsbad,San Diego,442 / 760,"18,887",0.05%
566,92011,Standard,Carlsbad,San Diego,442 / 760,"23,757",0.06%
567,92013 ,P.O. Box,Carlsbad,San Diego,760 / 442,0,0.00%
568,92014,Standard,Del Mar,San Diego,858,"13,203",0.03%
569,92018 ,P.O. Box,Carlsbad,San Diego,760,0,0.00%
570,92019,Standard,El Cajon,San Diego,619 / 858,"45,108",0.11%
571,92020,Standard,El Cajon,San Diego,619 / 858,"60,454",0.15%
572,92021,Standard,El Cajon,San Diego,619 / 858,"70,584",0.18%
573,92022 ,P.O. Box,El Cajon,San Diego,619 / 858,0,0.00%
574,92023 ,P.O. Box,Encinitas,San Diego,760,0,0.00%
575,92024,Standard,Encinitas,San Diego,760 / 442,"51,190",0.13%
576,92025,Standard,Escondido,San Diego,760 / 442,"51,586",0.13%
577,92026,Standard,Escondido,San Diego,760 / 442,"52,797",0.13%
578,92027,Standard,Escondido,San Diego,760 / 442,"56,840",0.14%
579,92028,Standard,Fallbrook,San Diego,760 / 442,"51,614",0.13%
580,92029,Standard,Escondido,San Diego,760 / 442,"21,236",0.05%
581,92030 ,P.O. Box,Escondido,San Diego,760 / 442,0,0.00%
582,92033 ,P.O. Box,Escondido,San Diego,760 / 442,0,0.00%
583,92036,Standard,Julian,San Diego,760,"3,735",0.01%
584,92037,Standard,La Jolla,San Diego,858 / 619,"41,260",0.10%
585,92038 ,P.O. Box,La Jolla,San Diego,858 / 619,0,0.00%
586,92039 ,P.O. Box,La Jolla,San Diego,858 / 619,0,0.00%
587,92040,Standard,Lakeside,San Diego,619 / 858,"43,640",0.11%
588,92046 ,P.O. Box,Escondido,San Diego,760 / 442,0,0.00%
589,92049 ,P.O. Box,Oceanside,San Diego,760 / 442,0,0.00%
590,92051 ,P.O. Box,Oceanside,San Diego,760 / 442,0,0.00%
591,92052 ,P.O. Box,Oceanside,San Diego,760 / 442,0,0.00%
592,92054,Standard,Oceanside,San Diego,760 / 442,"38,667",0.10%
593,92055 ,P.O. Box,Camp Pendleton,San Diego,760,"9,684",0.02%
594,92056,Standard,Oceanside,San Diego,760 / 442,"53,750",0.14%
595,92057,Standard,Oceanside,San Diego,760 / 442,"57,844",0.15%
596,92058,Standard,Oceanside,San Diego,442 / 760,"45,389",0.11%
597,92059,Standard,Pala,San Diego,442 / 760,"1,872",0.00%
598,92060 ,P.O. Box,Palomar Mountain,San Diego,442 / 760,288,0.00%
599,92061,Standard,Pauma Valley,San Diego,442 / 760,"2,246",0.01%
600,92064,Standard,Poway,San Diego,858,"48,884",0.12%
601,92065,Standard,Ramona,San Diego,760 / 442,"37,047",0.09%
602,92066,Standard,Ranchita,San Diego,760 / 442,330,0.00%
603,92067 ,P.O. Box,Rancho Santa Fe,San Diego,858 / 619,"9,344",0.02%
604,92068 ,P.O. Box,San Luis Rey,San Diego,760 / 442,0,0.00%
605,92069,Standard,San Marcos,San Diego,760 / 442,"49,407",0.12%
606,92070,Standard,Santa Ysabel,San Diego,760 / 442,"1,093",0.00%
607,92071,Standard,Santee,San Diego,619,"60,163",0.15%
608,92072 ,P.O. Box,Santee,San Diego,619 / 858,0,0.00%
609,92074 ,P.O. Box,Poway,San Diego,858,0,0.00%
610,92075,Standard,Solana Beach,San Diego,858,"12,051",0.03%
611,92078,Standard,San Marcos,San Diego,760 / 442,"52,347",0.13%
612,92079 ,P.O. Box,San Marcos,San Diego,760 / 442,0,0.00%
613,92081,Standard,Vista,San Diego,442 / 760,"28,745",0.07%
614,92082,Standard,Valley Center,San Diego,760 / 442,"20,860",0.05%
615,92083,Standard,Vista,San Diego,760 / 442,"39,219",0.10%
616,92084,Standard,Vista,San Diego,760 / 442,"49,941",0.13%
617,92085 ,P.O. Box,Vista,San Diego,760 / 442,0,0.00%
618,92086,Standard,Warner Springs,San Diego,760 / 442,"1,490",0.00%
619,92088 ,P.O. Box,Fallbrook,San Diego,760 / 442,0,0.00%
620,92091,Standard,Rancho Santa Fe,San Diego,858 / 619,"1,571",0.00%
621,92092 ,Unique,La Jolla,San Diego,858,"5,251",0.01%
622,92093 ,Unique,La Jolla,San Diego,858,"5,076",0.01%
623,92096 ,Unique,San Marcos,San Diego,760 / 442,35,0.00%
624,92101,Standard,San Diego,San Diego,619 / 858,"47,505",0.12%
625,92102,Standard,San Diego,San Diego,619 / 858,"39,783",0.10%
626,92103,Standard,San Diego,San Diego,619 / 858 / 760,"33,311",0.08%
627,92104,Standard,San Diego,San Diego,619 / 858 / 760,"44,265",0.11%
628,92105,Standard,San Diego,San Diego,619 / 858,"66,579",0.17%
629,92106,Standard,San Diego,San Diego,619,"20,214",0.05%
630,92107,Standard,San Diego,San Diego,619,"28,684",0.07%
631,92108,Standard,San Diego,San Diego,858 / 619,"24,266",0.06%
632,92109,Standard,San Diego,San Diego,619,"44,671",0.11%
633,92110,Standard,San Diego,San Diego,619,"31,048",0.08%
634,92111,Standard,San Diego,San Diego,858 / 619,"46,686",0.12%
635,92112 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
636,92113,Standard,San Diego,San Diego,619,"50,457",0.13%
637,92114,Standard,San Diego,San Diego,619 / 858,"66,248",0.17%
638,92115,Standard,San Diego,San Diego,619,"64,251",0.16%
639,92116,Standard,San Diego,San Diego,619 / 858,"31,523",0.08%
640,92117,Standard,San Diego,San Diego,858 / 619,"51,505",0.13%
641,92118,Standard,Coronado,San Diego,619 / 858,"20,629",0.05%
642,92119,Standard,San Diego,San Diego,619,"24,298",0.06%
643,92120,Standard,San Diego,San Diego,619,"30,768",0.08%
644,92121,Standard,San Diego,San Diego,858 / 619 / 760 / 442,"4,658",0.01%
645,92122,Standard,San Diego,San Diego,858 / 619 / 760 / 442,"45,646",0.12%
646,92123,Standard,San Diego,San Diego,858 / 619,"30,937",0.08%
647,92124,Standard,San Diego,San Diego,619 / 858,"30,530",0.08%
648,92126,Standard,San Diego,San Diego,858 / 619 / 760 / 442,"74,788",0.19%
649,92127,Standard,San Diego,San Diego,858,"52,274",0.13%
650,92128,Standard,San Diego,San Diego,858 / 619,"49,083",0.12%
651,92129,Standard,San Diego,San Diego,858 / 619,"52,415",0.13%
652,92130,Standard,San Diego,San Diego,858,"61,595",0.16%
653,92131,Standard,San Diego,San Diego,858 / 619,"36,394",0.09%
654,92132 ,Unique,San Diego,San Diego,619 / 858,0,0.00%
655,92134 ,Unique,San Diego,San Diego,619 / 858,396,0.00%
656,92135 ,P.O. Box,San Diego,San Diego,619 / 858,"1,610",0.00%
657,92136 ,Unique,San Diego,San Diego,619,"7,014",0.02%
658,92137 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
659,92138 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
660,92139,Standard,San Diego,San Diego,619,"35,771",0.09%
661,92140 ,Unique,San Diego,San Diego,619 / 858 / 760,"2,183",0.01%
662,92142 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
663,92143 ,P.O. Box,San Ysidro,San Diego,619 / 858,0,0.00%
664,92145 ,Unique,San Diego,San Diego,858 / 619 / 760,"6,057",0.02%
665,92147 ,Unique,San Diego,San Diego,619,256,0.00%
666,92149 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
667,92150 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
668,92152 ,Unique,San Diego,San Diego,619,0,0.00%
669,92153 ,P.O. Box,San Diego,San Diego,619,0,0.00%
670,92154,Standard,San Diego,San Diego,619,"84,027",0.21%
671,92155 ,Unique,San Diego,San Diego,619 / 858,210,0.00%
