year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2023,23," 9,987,049,409 "," 6,079,356 "," 582,368 "," 382,884 ", 2.41 ,,,,,,," 4,689 "," 648,121,083 "," 1,082 "," 17,997,512 "," 3,640 "," 265,705,426 ", 345 ," 7,147,367 ", 251 ," 20,784,239 ", 19 ," 251,761 ", 101 ," 7,989,110 ", 13 ," 108,974 "
2023,94501," 14,647,733 "," 8,453 "," 740,211 "," 498,913 ", 0.77 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 3,876 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94502," 4,606,895 "," 2,836 "," 696,917 "," 469,689 ", 0.77 ,,,,,,, 1 ," 72,858 ", 1 ," 9,082 ", 1 ," 32,622 ", 1 ," 1,623 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94536," 15,211,495 "," 11,132 "," 583,597 "," 389,437 ", 1.54 ,,,,,,, 7 ," 1,746,923 ", 0   , 0   , 8 ," 464,272 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94538," 8,857,037 "," 7,689 "," 492,215 "," 324,127 ", 1.57 ,,,,,,, 6 ," 662,500 ", 0   , 0   , 4 ," 226,146 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94539," 19,466,512 "," 11,433 "," 817,335 "," 537,615 ", 1.62 ,,,,,,, 8 ," 1,658,792 ", 0   , 0   , 8 ," 784,919 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94541," 10,185,259 "," 7,334 "," 511,951 "," 337,795 ", 1.54 ,,,,,,, 7 ," 875,239 ", 2 ," 11,788 ", 5 ," 325,293 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94542," 7,002,984 "," 3,210 "," 832,901 "," 537,322 ", 1.58 ,,,,,,, 1 ," 5,850 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94544," 11,644,408 "," 9,005 "," 485,751 "," 318,172 ", 1.62 ,,,,,,, 4 ," 688,084 ", 1 , 833 , 4 ," 406,007 ", 1 ," 1,560 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94545," 7,148,849 "," 5,589 "," 520,600 "," 344,926 ", 1.57 ,,,,,,, 5 ," 696,097 ", 1 , 920 , 4 ," 157,790 ", 1 ," 1,810 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94546," 13,764,865 "," 9,169 "," 595,635 "," 396,123 ", 1.55 ,,,,,,, 3 ," 322,293 ", 1 ," 1,518 ", 4 ," 91,546 ", 1 ," 1,223 ", 1 ," 15,000 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94550," 19,578,802 "," 12,434 "," 716,317 "," 490,518 ", 2.05 ,,,,,,, 5 ," 641,463 ", 0   , 0   , 4 ," 349,052 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94551," 10,811,097 "," 7,665 "," 552,821 "," 375,096 ", 2.11 ,,,,,,, 6 ," 847,100 ", 0   , 0   , 4 ," 266,603 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94552," 8,387,926 "," 3,755 "," 771,731 "," 507,133 ", 1.55 ,,,,,,, 3 ," 962,362 ", 0   , 0   , 3 ," 285,566 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94555," 7,902,295 "," 6,152 "," 578,026 "," 378,410 ", 1.51 ,,,,,,, 2 ," 113,112 ", 0   , 0   , 1 ," 42,437 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94560," 10,800,599 "," 8,769 "," 561,067 "," 369,425 ", 1.57 ,,,,,,, 8 ," 1,092,419 ", 1 ," 8,374 ", 6 ," 417,260 ", 1 ," 1,425 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94566," 19,760,556 "," 9,738 "," 914,648 "," 606,232 ", 2.20 ,,,,,,, 5 ," 389,711 ", 0   , 0   , 3 ," 86,179 ", 0   , 0   , 1 ," 4,664 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94568," 17,530,552 "," 11,159 "," 767,260 "," 489,176 ", 1.72 ,,,,,,, 4 ," 982,463 ", 1 ," 3,799 ", 3 ," 684,744 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94577," 10,833,773 "," 7,892 "," 545,362 "," 367,205 ", 1.48 ,,,,,,, 8 ," 415,263 ", 0   , 0   , 8 ," 172,188 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94578," 5,572,695 "," 4,647 "," 480,756 "," 313,687 ", 1.56 ,,,,,,, 1 ," 12,058 ", 0   , 0   , 1 ," 2,127 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94579," 5,153,581 "," 4,432 "," 494,430 "," 325,876 ", 1.50 ,,,,,,, 2 ," 412,574 ", 0   , 0   , 2 ," 168,364 ", 0   , 0   , 1 ," 2,217 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94580," 6,788,880 "," 5,891 "," 456,685 "," 303,703 ", 1.48 ,,,,,,, 8 ," 1,934,202 ", 0   , 0   , 7 ," 381,207 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94586," 832,239 ", 274 ," 1,008,111 "," 682,973 ", 1.46 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94587," 15,529,807 "," 11,170 "," 568,063 "," 379,898 ", 1.56 ,,,,,,, 15 ," 1,919,454 ", 0   , 0   , 11 ," 1,627,817 ", 0   , 0   , 1 ," 3,501 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94588," 10,911,417 "," 6,133 "," 759,965 "," 507,161 ", 2.24 ,,,,,,, 5 ," 374,742 ", 1 ," 313,538 ", 4 ," 193,027 ", 1 ," 115,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94601," 5,711,056 "," 3,857 "," 480,348 "," 305,321 ", 1.05 ,,,,,,, 4 ," 900,710 ", 1 ," 1,317 ", 2 ," 705,171 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94602," 12,134,730 "," 6,253 "," 675,781 "," 447,344 ", 0.96 ,,,,,,, 2 ," 439,051 ", 0   , 0   , 2 ," 48,502 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94603," 4,952,804 "," 4,039 "," 381,487 "," 243,170 ", 1.08 ,,,,,,, 5 ," 954,606 ", 1 ," 2,777 ", 4 ," 408,942 ", 0   , 0   , 1 , 924 , 1 ," 13,722 ", 0   , 0   , 1 ," 4,574 "
2023,94605," 15,049,535 "," 8,198 "," 574,055 "," 377,925 ", 0.96 ,,,,,,, 11 ," 1,493,408 ", 4 ," 35,402 ", 9 ," 392,467 ", 1 ," 5,500 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94606," 3,373,719 "," 2,062 "," 588,108 "," 366,152 ", 1.13 ,,,,,,, 1 ," 27,269 ", 2 ," 4,772 ", 1 ," 15,490 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94607," 1,674,358 "," 1,021 "," 605,105 "," 384,862 ", 1.05 ,,,,,,, 1 ," 40,009 ", 0   , 0   , 1 ," 25,009 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94608," 3,990,641 "," 2,473 "," 558,966 "," 358,297 ", 1.06 ,,,,,,, 2 ," 359,681 ", 0   , 0   , 3 ," 361,012 ", 0   , 0   , 1 ," 5,001 ", 0   , 0   , 0   , 0   , 0   , 0   
2023,94609," 4,423,225 "," 2,392 "," 647,656 "," 421,389 ", 1.02 ,,,,,,, 1 ," 224,305 ", 1 , 735 , 1 ," 20,244 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94610," 10,214,003 "," 3,985 "," 1,021,749 "," 679,272 ", 1.18 ,,,,,,, 3 ," 458,552 ", 0   , 0   , 1 ," 50,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2023,94611," 26,798,690 "," 8,778 "," 1,146,764 "," 733,430 ", 1.21 ,,,,,,, 3 ," 196,178 ", 1 ," 5,820 ", 3 ," 61,026 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
