year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2020,20," 5,397,562,678 "," 4,221,681 "," 518,094 "," 320,266 ", 3.49 ,,,,,,," 5,442 "," 460,483,442 "," 1,831 "," 23,460,365 "," 3,581 "," 175,170,383 ", 671 ," 5,243,766 "," 5,763 "," 867,320,959 "," 4,963 "," 55,155,375 "," 4,449 "," 347,002,453 "," 1,488 "," 8,486,855 "
2020,94501," 8,840,807 "," 5,864 "," 609,109 "," 398,608 ", 1.16 ,,,,,,, 7 ," 1,151,180 ", 0   , 0   , 4 ," 410,542 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94502," 2,553,892 "," 1,993 "," 565,588 "," 374,683 ", 1.17 ,,,,,,, 1 ," 225,000 ", 0   , 0   , 3 ," 303,070 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94536," 9,267,145 "," 8,934 "," 497,051 "," 336,677 ", 2.00 ,,,,,,, 3 ," 58,732 ", 0   , 0   , 4 ," 9,558 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 49,697 ", 0   , 0   
2020,94537, 648 , 1 ," 406,400 "," 305,000 ", 2.00 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94538," 5,526,848 "," 6,300 "," 418,873 "," 280,035 ", 1.99 ,,,,,,, 7 ," 1,544,780 ", 1 ," 37,705 ", 5 ," 699,177 ", 1 ," 20,541 ", 0   , 0   , 1 ," 8,340 ", 0   , 0   , 0   , 0   
2020,94539," 12,060,614 "," 9,637 "," 683,351 "," 461,418 ", 1.99 ,,,,,,, 1 ," 60,143 ", 1 ," 1,320 ", 3 ," 43,178 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94541," 6,314,331 "," 5,705 "," 430,245 "," 280,638 ", 2.09 ,,,,,,, 7 ," 319,572 ", 0   , 0   , 5 ," 160,060 ", 0   , 0   , 2 ," 607,770 ", 0   , 0   , 1 ," 3,040 ", 0   , 0   
2020,94542," 4,041,574 "," 2,641 "," 702,693 "," 455,925 ", 1.99 ,,,,,,, 3 ," 82,985 ", 0   , 0   , 1 ," 18,605 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2020,94544," 7,293,598 "," 7,300 "," 416,981 "," 269,218 ", 2.09 ,,,,,,, 7 ," 635,825 ", 0   , 0   , 6 ," 282,820 ", 0   , 0   , 0   , 0   , 1 ," 15,031 ", 0   , 0   , 0   , 0   
2020,94545," 4,418,154 "," 4,494 "," 447,046 "," 293,564 ", 2.08 ,,,,,,, 4 ," 69,068 ", 0   , 0   , 1 ," 1,375 ", 0   , 0   , 1 ," 5,879 ", 0   , 0   , 0   , 0   , 0   , 0   
