year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2019,19," 4,715,377,592 "," 4,117,038 "," 493,173 "," 307,018 ", 3.57 ,,,,,,," 5,150 "," 367,010,283 ", 515 ," 9,261,160 "," 3,227 "," 148,637,162 ", 334 ," 3,530,260 "," 3,162 "," 136,374,639 "," 1,738 "," 21,094,261 "," 2,687 "," 57,544,021 ", 956 ," 4,963,935 "
2019,94501," 7,686,891 "," 5,818 "," 568,541 "," 375,113 ", 1.18 ,,,,,,, 7 ," 558,340 ", 0   , 0   , 6 ," 401,164 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94502," 2,200,642 "," 1,975 "," 527,120 "," 351,552 ", 1.19 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94536," 8,305,368 "," 8,850 "," 459,644 "," 314,121 ", 1.99 ,,,,,,, 6 ," 77,561 ", 1 , 180 , 4 ," 28,854 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94537, 946 , 1 ," 370,400 "," 278,000 ", 2.00 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94538," 4,937,437 "," 6,197 "," 385,432 "," 260,410 ", 2.00 ,,,,,,, 4 ," 326,970 ", 0   , 0   , 5 ," 363,017 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94539," 10,822,245 "," 9,438 "," 630,790 "," 430,681 ", 1.99 ,,,,,,, 6 ," 749,943 ", 1 ," 24,370 ", 4 ," 205,517 ", 1 ," 16,806 ", 1 ," 18,706 ", 0   , 0   , 1 ," 7,592 ", 0   , 0   
2019,94541," 5,504,138 "," 5,619 "," 399,158 "," 264,758 ", 2.11 ,,,,,,, 3 ," 160,345 ", 0   , 0   , 4 ," 63,733 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94542," 3,444,735 "," 2,555 "," 653,552 "," 431,785 ", 2.00 ,,,,,,, 1 ," 2,100 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94544," 6,266,027 "," 7,138 "," 384,348 "," 250,339 ", 2.12 ,,,,,,, 15 ," 678,572 ", 1 ," 10,000 ", 7 ," 193,025 ", 0   , 0   , 0   , 0   , 1 ," 10,991 ", 0   , 0   , 0   , 0   
2019,94545," 3,810,636 "," 4,392 "," 412,132 "," 273,795 ", 2.09 ,,,,,,, 2 ," 77,529 ", 0   , 0   , 1 ," 3,645 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94546," 7,068,389 "," 6,967 "," 463,247 "," 310,828 ", 2.04 ,,,,,,, 4 ," 400,744 ", 1 , 207 , 4 ," 300,532 ", 1 ," 6,300 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94550," 9,675,649 "," 8,726 "," 552,260 "," 377,654 ", 2.94 ,,,,,,, 5 ," 395,227 ", 1 ," 5,350 ", 3 ," 200,342 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94551," 5,024,993 "," 5,308 "," 425,818 "," 290,970 ", 2.90 ,,,,,,, 6 ," 431,429 ", 0   , 0   , 6 ," 280,110 ", 0   , 0   , 1 ," 52,197 ", 0   , 0   , 1 ," 92,586 ", 0   , 0   
2019,94552," 4,125,543 "," 3,013 "," 610,632 "," 417,583 ", 2.04 ,,,,,,, 2 ," 32,229 ", 0   , 0   , 1 ," 10,765 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94555," 4,382,772 "," 5,100 "," 459,007 "," 305,701 ", 2.01 ,,,,,,, 1 , 951 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94560," 5,671,635 "," 6,544 "," 421,836 "," 283,141 ", 2.03 ,,,,,,, 4 ," 514,812 ", 0   , 0   , 2 ," 100,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94566," 9,812,307 "," 7,243 "," 734,963 "," 491,134 ", 2.87 ,,,,,,, 6 ," 930,990 ", 1 ," 4,432 ", 4 ," 382,776 ", 1 ," 9,573 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94568," 8,680,453 "," 8,868 "," 615,320 "," 398,775 ", 2.13 ,,,,,,, 3 ," 31,757 ", 0   , 0   , 2 ," 1,392 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94577," 5,547,803 "," 5,916 "," 423,517 "," 281,616 ", 2.02 ,,,,,,, 6 ," 559,461 ", 1 , 0   , 5 ," 242,114 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94578," 3,026,620 "," 3,578 "," 377,073 "," 248,579 ", 2.02 ,,,,,,, 1 ," 3,150 ", 1 ," 10,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94579," 2,771,908 "," 3,327 "," 387,637 "," 252,469 ", 2.02 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94580," 3,636,523 "," 4,297 "," 361,373 "," 239,160 ", 2.03 ,,,,,,, 4 ," 317,860 ", 1 , 721 , 3 ," 153,199 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94586," 370,614 ", 184 ," 839,823 "," 546,419 ", 2.48 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94587," 8,470,441 "," 9,006 "," 442,374 "," 300,470 ", 2.02 ,,,,,,, 7 ," 426,961 ", 0   , 0   , 3 ," 276,467 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94588," 5,620,708 "," 4,690 "," 603,476 "," 409,813 ", 2.89 ,,,,,,, 1 ," 4,325 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2019,94601," 3,192,347 "," 2,786 "," 381,054 "," 240,646 ", 2.01 ,,,,,,, 12 ," 1,165,213 ", 0   , 0   , 8 ," 504,421 ", 0   , 0   , 1 ," 39,157 ", 0   , 0   , 1 ," 15,000 ", 0   , 0   
