year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2018,90245," 1,183,443 "," 1,139 "," 487,024 "," 324,515 ", 2.08 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90247," 1,691,438 "," 2,445 "," 301,418 "," 196,433 ", 2.25 ,,,,,,, 4 ," 200,678 ", 0   , 0   , 2 ," 88,928 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90248," 664,301 ", 935 ," 314,502 "," 210,269 ", 1.95 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90249," 1,842,206 "," 2,652 "," 302,250 "," 198,558 ", 2.85 ,,,,,,, 2 ," 292,420 ", 0   , 0   , 2 ," 100,683 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90250," 3,502,761 "," 5,217 "," 303,384 "," 202,877 ", 2.82 ,,,,,,, 4 ," 193,544 ", 0   , 0   , 2 ," 95,257 ", 0   , 0   , 2 ," 86,517 ", 0   , 0   , 0   , 0   , 0   , 0   
2018,90254," 2,724,784 "," 1,868 "," 718,234 "," 454,576 ", 3.81 ,,,,,,, 2 ," 221,592 ", 0   , 0   , 1 ," 125,041 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90255," 1,221,815 "," 1,930 "," 288,457 "," 184,893 ", 2.59 ,,,,,,, 3 ," 42,280 ", 0   , 0   , 3 ," 20,714 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90260," 1,236,495 "," 1,928 "," 287,751 "," 193,033 ", 2.81 ,,,,,,, 1 ," 100,901 ", 0   , 0   , 1 ," 86,742 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90262," 1,730,042 "," 2,573 "," 260,913 "," 170,049 ", 2.62 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 2 ," 280,060 ", 0   , 0   , 1 ," 41,446 ", 0   , 0   
2018,90264," 51,840 ", 2 ," 7,746,255 "," 2,323,877 ", 4.00 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 401,839 ", 0   , 0   , 1 ," 21,752 ", 0   , 0   
