year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2021,21," 8,045,570,416 "," 6,025,866 "," 516,127 "," 336,870 ", 2.48 ,,,,,,," 6,244 "," 688,584,750 "," 1,508 "," 21,019,355 "," 4,564 "," 270,431,093 ", 578 ," 5,248,833 "," 2,046 "," 302,504,823 "," 4,045 "," 39,904,435 "," 1,692 "," 117,644,069 ", 872 ," 3,822,810 "
2021,94501," 12,630,486 "," 8,362 "," 638,491 "," 438,984 ", 0.80 ,,,,,,, 5 ," 3,532,728 ", 0   , 0   , 5 ," 1,209,636 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94502," 3,845,577 "," 2,809 "," 601,506 "," 414,206 ", 0.81 ,,,,,,, 0   , 0   , 1 ," 13,857 ", 0   , 0   , 1 ," 6,725 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94536," 12,570,929 "," 11,107 "," 508,343 "," 349,285 ", 1.59 ,,,,,,, 12 ," 2,653,204 ", 0   , 0   , 12 ," 1,048,890 ", 0   , 0   , 1 ," 2,817 ", 1 ," 10,403 ", 0   , 0   , 0   , 0   
2021,94538," 7,315,549 "," 7,663 "," 425,770 "," 289,459 ", 1.61 ,,,,,,, 8 ," 1,805,893 ", 0   , 0   , 8 ," 816,426 ", 0   , 0   , 1 ," 5,229 ", 1 , 519 , 0   , 0   , 0   , 0   
2021,94539," 15,798,724 "," 11,354 "," 710,472 "," 485,180 ", 1.66 ,,,,,,, 3 ," 1,289,175 ", 0   , 0   , 3 ," 489,896 ", 0   , 0   , 0   , 0   , 1 ," 8,561 ", 0   , 0   , 0   , 0   
2021,94541," 8,631,178 "," 7,376 "," 443,898 "," 300,696 ", 1.60 ,,,,,,, 10 ," 467,144 ", 0   , 0   , 8 ," 153,538 ", 0   , 0   , 1 ," 3,706 ", 0   , 0   , 1 ," 2,971 ", 0   , 0   
2021,94542," 5,704,013 "," 3,251 "," 726,038 "," 481,373 ", 1.62 ,,,,,,, 3 ," 330,802 ", 0   , 0   , 2 ," 12,821 ", 0   , 0   , 1 ," 16,133 ", 0   , 0   , 1 ," 4,950 ", 0   , 0   
2021,94544," 9,664,608 "," 8,958 "," 422,852 "," 282,902 ", 1.68 ,,,,,,, 7 ," 373,431 ", 1 ," 2,750 ", 4 ," 191,298 ", 0   , 0   , 0   , 0   , 1 ," 7,064 ", 0   , 0   , 1 ," 3,607 "
2021,94545," 5,887,722 "," 5,602 "," 453,621 "," 306,870 ", 1.64 ,,,,,,, 6 ," 246,640 ", 2 ," 28,913 ", 5 ," 41,441 ", 1 ," 7,522 ", 1 ," 22,117 ", 1 ," 5,791 ", 1 ," 18,511 ", 0   , 0   
2021,94546," 11,496,253 "," 9,174 "," 515,494 "," 352,098 ", 1.56 ,,,,,,, 10 ," 1,203,316 ", 0   , 0   , 8 ," 284,072 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94550," 16,408,099 "," 12,457 "," 618,086 "," 433,580 ", 2.07 ,,,,,,, 5 ," 187,561 ", 0   , 0   , 1 ," 51,798 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94551," 8,667,175 "," 7,667 "," 478,921 "," 332,610 ", 2.09 ,,,,,,, 5 ," 918,110 ", 0   , 0   , 4 ," 228,575 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94552," 6,786,995 "," 3,801 "," 677,001 "," 463,772 ", 1.62 ,,,,,,, 4 ," 195,149 ", 0   , 0   , 3 ," 347,731 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94555," 6,446,481 "," 6,205 "," 502,532 "," 338,172 ", 1.61 ,,,,,,, 3 ," 109,176 ", 0   , 0   , 2 ," 22,777 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2021,94560," 8,738,719 "," 8,538 "," 482,000 "," 324,893 ", 1.62 ,,,,,,, 3 ," 445,779 ", 0   , 0   , 2 ," 149,500 ", 0   , 0   , 0   , 0   , 1 ," 8,766 ", 0   , 0   , 1 ," 2,922 "
2021,94566," 16,187,591 "," 9,764 "," 796,783 "," 540,858 ", 2.20 ,,,,,,, 6 ," 774,297 ", 1 ," 6,423 ", 8 ," 337,449 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
