ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"95959","95959",860Z200US95959,B5,G6350,S,"807812263","7808681","+39.3515290","-120.8705493",2.916667,3.000000
"95915","95915",860Z200US95915,B5,G6350,S,"93776791","653684","+39.9913677","-121.2307315",3.000000,3.000000
"90815","90815",860Z200US90815,B5,G6350,S,"18269698","512747","+33.7950672","-118.1157237",0.000000,0.000000
"90046","90046",860Z200US90046,B5,G6350,S,"14674077","3009","+34.1078099","-118.3622474",3.000000,3.000000
"90503","90503",860Z200US90503,B5,G6350,S,"13640983","4355","+33.8394633","-118.3536989",0.000000,0.000000
"90278","90278",860Z200US90278,B5,G6350,S,"9507745","0","+33.8736054","-118.3702644",0.000000,0.000000
"94066","94066",860Z200US94066,B5,G6350,S,"15695994","0","+37.6253890","-122.4323558",2.000000,1.000000
"96111","96111",860Z200US96111,B5,G6350,S,"12361098","2265","+39.4150125","-120.0171316",2.444444,2.000000
"96067","96067",860Z200US96067,B5,G6350,S,"197814029","1956086","+41.3168883","-122.3174473",2.363636,3.000000
"93705","93705",860Z200US93705,B5,G6350,S,"12600070","41216","+36.7872970","-119.8273214",0.000000,0.000000
"95360","95360",860Z200US95360,B5,G6350,S,"160096575","4097589","+37.3260021","-121.0388906",2.000000,2.000000
"93662","93662",860Z200US93662,B5,G6350,S,"201655644","550687","+36.5365732","-119.6386513",0.000000,0.000000
"93239","93239",860Z200US93239,B5,G6350,S,"150680747","0","+36.0327691","-119.9864092",1.500000,1.000000
"95942","95942",860Z200US95942,B5,G6350,S,"179102537","42014","+39.9159943","-121.6670307",2.800000,3.000000
"93665","93665",860Z200US93665,B5,G6350,S,"1355343","0","+36.9633136","-120.6503151",0.000000,0.000000
"91739","91739",860Z200US91739,B5,G6350,S,"73612602","21276","+34.1563864","-117.5169361",2.800000,3.000000
"93612","93612",860Z200US93612,B5,G6350,S,"17479281","198525","+36.8148491","-119.7119089",0.000000,0.000000
"93208","93208",860Z200US93208,B5,G6350,S,"19957004","0","+36.1297775","-118.6397774",3.000000,3.000000
"95948","95948",860Z200US95948,B5,G6350,S,"195714974","668658","+39.3392635","-121.7707851",0.000000,0.000000
"92102","92102",860Z200US92102,B5,G6350,S,"11630850","0","+32.7159810","-117.1174946",3.000000,3.000000
"91950","91950",860Z200US91950,B5,G6350,S,"19003808","840420","+32.6690667","-117.0934869",0.000000,0.000000
"93218","93218",860Z200US93218,B5,G6350,S,"170027112","36084","+35.8571408","-119.0449304",1.000000,1.000000
"93261","93261",860Z200US93261,B5,G6350,S,"14958443","0","+35.8114805","-119.1167378",0.000000,0.000000
"93272","93272",860Z200US93272,B5,G6350,S,"217495903","13713","+36.0473536","-119.3444282",0.000000,0.000000
"93256","93256",860Z200US93256,B5,G6350,S,"193294489","56590","+35.9717308","-119.3135106",0.000000,0.000000
"93041","93041",860Z200US93041,B5,G6350,S,"15225512","1406908","+34.1631887","-119.1866768",0.000000,0.000000
"93660","93660",860Z200US93660,B5,G6350,S,"126281306","0","+36.6093391","-120.1651676",0.000000,0.000000
"95336","95336",860Z200US95336,B5,G6350,S,"99289449","74579","+37.8302673","-121.2010196",0.000000,0.000000
"93010","93010",860Z200US93010,B5,G6350,S,"56908304","42884","+34.2278878","-119.0795529",2.600000,3.000000
