fid,ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,zip_area,GEOID20_2,FHSZ_avg_rating
1243,"95833","95833",860Z200US95833,B5,G6350,S,20955184,1216653,"+38.6190485","-121.5175516",22171840.9746063,,0
1244,"91377","91377",860Z200US91377,B5,G6350,S,13971948,0,"+34.1847243","-118.7665166",13971946.0185143,"91377",1.0500965413383
1245,"92014","92014",860Z200US92014,B5,G6350,S,16330004,1197873,"+32.9632316","-117.2503668",17527878.797764,"92014",1.49780408395953
1246,"92067","92067",860Z200US92067,B5,G6350,S,57997880,200876,"+33.0209084","-117.1903457",58198766.8020138,"92067",2.50565910951377
1247,"92311","92311",860Z200US92311,B5,G6350,S,1099250743,112301,"+34.9656480","-117.0015086",1099363185.33515,,0
1248,"92301","92301",860Z200US92301,B5,G6350,S,582185291,0,"+34.6517865","-117.5261052",582185306.205229,"92301",0.000247937120737907
1249,"92399","92399",860Z200US92399,B5,G6350,S,138945859,11185,"+34.0323124","-117.0105770",138957057.170794,"92399",1.55949073937112
1250,"92119","92119",860Z200US92119,B5,G6350,S,17002043,648076,"+32.8178882","-117.0319557",17650126.3094256,"92119",1.65007698501437
1251,"92356","92356",860Z200US92356,B5,G6350,S,946834679,0,"+34.4962515","-116.8925302",946834740.488847,"92356",0.270503984957991
1252,"95454","95454",860Z200US95454,B5,G6350,S,793973450,278003,"+39.7840478","-123.4957895",794251550.774864,"95454",2.11396990219885
1253,"95570","95570",860Z200US95570,B5,G6350,S,135667244,11954844,"+41.1137525","-124.0826397",147622087.919201,"95570",0.763625708538696
1254,"92131","92131",860Z200US92131,B5,G6350,S,100084005,511638,"+32.8996868","-117.0473184",100595647.039784,"92131",1.19255112609873
